"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"3: 2019","Dec","Dec","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"3: 2019","Dec","1","32","29.6","21","41","30.1","16","100","92.5","64"
"3: 2019","Dec","2","28","24.7","16","21","12.1","6","93","82.6","51"
"3: 2019","Dec","3","30","26.0","14","18","10.2","2","93","83.2","55"
"3: 2019","Dec","4","32","31.4","28","22","16.9","10","87","83.1","70"
"3: 2019","Dec","5","28","23.9","19","26","13.7","5","80","69.5","56"
"3: 2019","Dec","6","32","28.1","18","15","9.4","0","100","85.8","60"
"3: 2019","Dec","7","23","19.0","16","14","8.7","3","74","66.7","59"
"3: 2019","Dec","8","39","31.7","25","18","10.3","3","93","78.3","65"
"3: 2019","Dec","9","43","40.8","37","17","4.6","0","100","91.8","76"
"3: 2019","Dec","10","43","26.9","10","35","18.1","3","93","68.2","54"
"3: 2019","Dec","11","19","13.7","7","36","22.2","2","74","63.1","46"
"3: 2019","Dec","12","23","15.7","9","15","8.6","5","74","65.6","58"
"3: 2019","Dec","13","34","29.5","25","15","9.1","6","87","72.1","61"
"3: 2019","Dec","14","37","34.0","30","21","11.4","0","100","91.7","75"
"3: 2019","Dec","15","30","21.6","14","30","18.5","7","81","68.0","51"
"3: 2019","Dec","16","25","21.0","16","8","4.1","0","80","67.2","60"
"3: 2019","Dec","17","27","23.6","19","16","7.7","0","86","72.3","56"
"3: 2019","Dec","18","25","14.6","-2","23","15.1","10","93","71.8","45"
"3: 2019","Dec","19","19","11.2","-6","15","5.4","0","93","79.6","56"
"3: 2019","Dec","20","19","15.4","12","16","10.8","7","93","75.5","63"
"3: 2019","Dec","21","32","25.4","18","13","7.3","3","93","80.0","69"
"3: 2019","Dec","22","36","33.1","30","20","13.3","5","93","84.6","81"
"3: 2019","Dec","23","37","33.8","30","23","12.0","2","87","76.6","57"
"3: 2019","Dec","24","30","27.2","23","18","13.2","7","87","77.3","69"
"3: 2019","Dec","25","34","31.4","30","14","9.4","0","100","89.8","81"
"3: 2019","Dec","26","36","33.6","30","23","16.9","8","93","89.6","81"
"3: 2019","Dec","27","46","38.6","32","21","7.5","0","100","87.9","71"
"3: 2019","Dec","28","34","29.5","27","15","8.4","2","81","72.1","65"
"3: 2019","Dec","29","34","33.6","30","33","25.7","2","100","92.5","81"
"3: 2019","Dec","30","43","36.1","32","40","24.4","2","100","91.7","61"
"3: 2019","Dec","31","34","30.6","25","26","19.6","9","93","85.2","70"
