"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"2: 2020","Jun","Jun","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"2: 2020","Jun","1","46","42.0","37","18","9.9","2","76","55.4","25"
"2: 2020","Jun","2","57","52.2","46","24","11.9","2","94","79.3","60"
"2: 2020","Jun","3","63","57.1","54","21","8.3","0","100","87.2","42"
"2: 2020","Jun","4","63","57.7","54","15","6.9","2","94","79.5","61"
"2: 2020","Jun","5","68","62.7","57","28","8.3","2","100","85.9","65"
"2: 2020","Jun","6","59","53.3","48","16","8.9","5","94","61.6","44"
"2: 2020","Jun","7","52","48.5","45","14","7.9","0","77","62.9","49"
"2: 2020","Jun","8","55","48.2","45","9","5.1","0","77","61.6","43"
"2: 2020","Jun","9","63","52.7","0","18","5.8","0","88","62.8","0"
"2: 2020","Jun","10","68","62.0","55","37","12.2","2","100","83.4","61"
"2: 2020","Jun","11","64","55.5","50","28","15.3","5","94","72.7","44"
"2: 2020","Jun","12","54","43.1","34","22","12.7","6","88","53.4","39"
"2: 2020","Jun","13","48","41.5","36","13","8.5","3","77","59.9","42"
"2: 2020","Jun","14","48","43.3","36","10","8.3","6","82","60.8","42"
"2: 2020","Jun","15","52","43.4","37","13","8.2","2","64","52.5","40"
"2: 2020","Jun","16","50","47.7","45","12","6.3","2","72","60.5","46"
"2: 2020","Jun","17","57","53.1","50","12","5.3","0","88","68.5","56"
"2: 2020","Jun","18","59","55.7","54","14","8.3","0","88","64.7","50"
"2: 2020","Jun","19","68","62.7","57","13","5.4","0","94","75.4","54"
"2: 2020","Jun","20","68","65.0","63","8","3.3","0","100","81.4","55"
"2: 2020","Jun","21","70","67.0","64","14","6.8","0","94","79.0","61"
"2: 2020","Jun","22","70","68.4","66","13","5.7","0","100","83.7","65"
"2: 2020","Jun","23","72","68.1","57","24","8.3","2","100","89.3","73"
"2: 2020","Jun","24","57","51.8","48","26","16.9","7","94","68.7","46"
"2: 2020","Jun","25","57","53.9","50","15","7.4","2","94","71.6","47"
"2: 2020","Jun","26","57","54.9","52","16","7.1","0","94","73.8","57"
"2: 2020","Jun","27","68","62.7","55","17","5.5","0","100","88.7","54"
"2: 2020","Jun","28","64","60.5","57","12","6.2","2","100","80.4","45"
"2: 2020","Jun","29","64","60.9","57","15","7.2","0","73","64.3","54"
"2: 2020","Jun","30","64","63.0","61","13","7.4","2","83","74.4","69"
