"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"1: 2021","Dec","Dec","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"1: 2021","Dec","1","36","31.3","27","17","10.8","5","81","72.5","61"
"1: 2021","Dec","2","43","37.6","25","32","17.9","3","100","80.2","50"
"1: 2021","Dec","3","27","20.5","18","21","14.8","6","65","56.4","48"
"1: 2021","Dec","4","32","26.0","21","29","15.6","3","81","63.5","45"
"1: 2021","Dec","5","39","30.6","21","33","19.4","3","100","81.2","56"
"1: 2021","Dec","6","46","35.8","21","39","20.7","3","100","83.5","56"
"1: 2021","Dec","7","25","17.8","12","21","15.2","9","80","64.4","51"
"1: 2021","Dec","8","28","22.4","9","17","6.6","0","93","82.9","50"
"1: 2021","Dec","9","32","24.9","16","16","12.5","5","100","80.3","59"
"1: 2021","Dec","10","37","34.2","30","25","11.0","0","93","82.6","70"
"1: 2021","Dec","11","50","39.1","25","44","22.6","2","100","87.2","54"
"1: 2021","Dec","12","34","29.0","25","25","18.2","13","81","68.4","56"
"1: 2021","Dec","13","37","32.9","30","22","15.6","9","87","68.9","57"
"1: 2021","Dec","14","36","32.5","30","23","13.8","6","87","76.5","65"
"1: 2021","Dec","15","41","36.6","32","24","13.5","3","87","82.3","66"
"1: 2021","Dec","16","48","40.3","28","33","17.5","2","94","68.9","47"
"1: 2021","Dec","17","28","25.4","21","22","15.9","7","70","59.0","46"
"1: 2021","Dec","18","32","27.4","21","26","16.9","5","100","84.6","65"
"1: 2021","Dec","19","21","18.2","12","16","8.4","2","80","72.0","51"
"1: 2021","Dec","20","32","25.6","16","23","12.7","2","81","75.5","69"
"1: 2021","Dec","21","32","26.2","19","18","11.3","0","81","67.5","52"
"1: 2021","Dec","22","34","21.1","16","32","21.2","9","80","66.3","55"
"1: 2021","Dec","23","30","24.6","14","15","10.3","5","93","80.4","51"
"1: 2021","Dec","24","36","32.2","30","30","14.9","3","93","90.2","81"
"1: 2021","Dec","25","41","38.7","34","24","11.9","0","100","92.5","76"
"1: 2021","Dec","26","34","26.9","18","17","12.5","5","81","69.2","56"
"1: 2021","Dec","27","34","27.8","14","37","24.2","6","100","90.9","68"
"1: 2021","Dec","28","36","29.5","23","25","10.7","2","100","80.5","56"
"1: 2021","Dec","29","37","33.6","30","20","12.9","3","100","91.1","81"
"1: 2021","Dec","30","34","31.2","28","15","7.8","3","87","80.5","70"
"1: 2021","Dec","31","39","37.3","32","17","10.0","2","100","93.1","81"
