"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"2: 2020","Jan","Jan","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"2: 2020","Jan","1","28","24.2","19","24","18.9","9","81","72.9","60"
"2: 2020","Jan","2","36","33.1","28","20","13.6","6","93","80.5","70"
"2: 2020","Jan","3","39","35.6","30","16","8.4","5","100","80.7","65"
"2: 2020","Jan","4","32","29.9","23","18","7.7","2","100","84.5","65"
"2: 2020","Jan","5","32","27.7","19","23","12.6","3","100","81.8","60"
"2: 2020","Jan","6","34","27.8","16","31","18.3","10","93","76.2","48"
"2: 2020","Jan","7","32","26.8","19","16","10.7","2","86","77.0","64"
"2: 2020","Jan","8","28","18.1","5","25","15.2","7","93","69.2","47"
"2: 2020","Jan","9","25","15.4","5","18","11.1","2","93","70.3","58"
"2: 2020","Jan","10","43","39.2","25","22","6.3","0","100","94.5","65"
"2: 2020","Jan","11","52","42.6","36","21","8.2","0","100","96.5","87"
"2: 2020","Jan","12","36","27.1","14","23","13.4","3","100","85.2","68"
"2: 2020","Jan","13","34","28.4","21","18","9.5","0","100","91.9","86"
"2: 2020","Jan","14","36","25.5","0","17","9.8","0","100","72.1","0"
"2: 2020","Jan","15","34","28.9","0","17","9.1","0","87","71.0","0"
"2: 2020","Jan","16","34","25.7","7","25","12.6","7","93","76.1","58"
"2: 2020","Jan","17","10","5.4","-2","14","6.3","0","73","65.4","53"
"2: 2020","Jan","18","36","26.8","12","26","13.7","0","100","90.7","68"
"2: 2020","Jan","19","30","20.2","5","30","16.1","7","93","75.9","58"
"2: 2020","Jan","20","16","8.6","1","16","10.7","6","80","67.3","50"
"2: 2020","Jan","21","21","17.7","12","22","12.7","0","80","71.5","64"
"2: 2020","Jan","22","27","22.4","16","23","18.1","10","86","76.6","65"
"2: 2020","Jan","23","32","25.7","19","13","5.3","0","93","76.9","69"
"2: 2020","Jan","24","36","30.3","27","26","20.2","9","93","79.9","70"
"2: 2020","Jan","25","37","35.8","34","28","15.0","0","100","94.1","87"
"2: 2020","Jan","26","34","32.8","30","17","14.6","12","93","88.2","81"
"2: 2020","Jan","27","30","28.4","27","16","11.4","7","87","77.5","70"
"2: 2020","Jan","28","30","26.6","21","15","8.5","3","93","79.0","56"
"2: 2020","Jan","29","25","16.4","10","13","7.9","0","80","68.5","51"
"2: 2020","Jan","30","25","20.9","12","14","10.1","0","86","77.5","59"
"2: 2020","Jan","31","27","24.1","21","8","5.0","0","86","77.7","69"
