"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"2: 2020","May","May","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"2: 2020","May","1","50","44.1","36","16","7.6","2","100","85.1","42"
"2: 2020","May","2","45","41.1","37","15","7.6","3","93","72.7","54"
"2: 2020","May","3","50","41.9","36","24","9.9","0","93","58.1","31"
"2: 2020","May","4","37","30.7","10","18","13.3","9","76","55.5","25"
"2: 2020","May","5","28","24.7","19","10","6.0","0","65","52.6","43"
"2: 2020","May","6","36","27.5","19","9","5.5","0","66","49.4","30"
"2: 2020","May","7","39","29.5","14","22","11.4","2","76","53.0","22"
"2: 2020","May","8","25","16.8","10","22","12.6","7","70","45.9","31"
"2: 2020","May","9","30","23.9","18","32","17.9","7","81","60.4","36"
"2: 2020","May","10","39","33.4","25","13","7.7","0","93","72.6","56"
"2: 2020","May","11","36","32.5","21","21","11.1","5","93","74.7","45"
"2: 2020","May","12","25","22.2","14","23","11.6","6","75","49.0","27"
"2: 2020","May","13","37","27.5","19","13","7.4","0","76","57.7","28"
"2: 2020","May","14","45","39.0","32","18","10.2","0","100","78.8","57"
"2: 2020","May","15","59","48.6","43","14","5.8","0","100","94.2","77"
"2: 2020","May","16","48","46.7","45","14","7.4","0","94","84.3","63"
"2: 2020","May","17","46","44.9","43","25","15.2","8","82","74.4","67"
"2: 2020","May","18","52","48.2","39","29","24.3","15","100","87.5","54"
"2: 2020","May","19","43","38.3","34","26","21.5","12","67","53.4","47"
"2: 2020","May","20","43","40.3","37","21","15.8","10","71","57.1","42"
"2: 2020","May","21","41","36.9","30","14","8.6","2","76","56.3","36"
"2: 2020","May","22","52","43.3","36","8","4.3","0","94","63.7","37"
"2: 2020","May","23","59","53.5","50","12","4.8","0","94","80.3","64"
"2: 2020","May","24","61","54.0","48","16","12.2","5","88","76.6","67"
"2: 2020","May","25","66","59.5","55","12","7.3","2","94","82.6","69"
"2: 2020","May","26","66","61.1","55","12","6.4","0","100","86.3","69"
"2: 2020","May","27","64","61.7","59","12","6.0","0","100","78.9","61"
"2: 2020","May","28","64","62.8","61","10","5.1","0","100","95.5","78"
"2: 2020","May","29","64","60.5","52","18","9.2","0","100","87.4","72"
"2: 2020","May","30","54","49.2","41","21","8.8","2","100","74.9","48"
"2: 2020","May","31","43","37.9","28","15","7.5","0","81","58.8","31"
