"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"3: 2019","Jan","Jan","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"3: 2019","Jan","1","43","30.9","12","23","13.3","2","100","85.5","64"
"3: 2019","Jan","2","32","22.9","12","13","7.4","5","100","84.0","74"
"3: 2019","Jan","3","32","28.6","23","23","11.3","0","100","86.0","69"
"3: 2019","Jan","4","36","32.2","30","18","11.7","5","87","80.7","70"
"3: 2019","Jan","5","34","31.8","30","20","10.1","2","93","83.7","75"
"3: 2019","Jan","6","37","24.6","7","18","12.2","7","93","68.6","46"
"3: 2019","Jan","7","36","21.7","9","29","16.5","5","93","73.3","58"
"3: 2019","Jan","8","45","38.0","36","20","7.9","0","100","90.2","76"
"3: 2019","Jan","9","36","23.1","16","30","18.3","10","87","68.1","55"
"3: 2019","Jan","10","18","11.9","7","26","16.5","7","79","66.8","54"
"3: 2019","Jan","11","7","0.5","-4","20","9.8","2","73","53.6","36"
"3: 2019","Jan","12","12","9.5","5","14","8.1","0","68","58.8","50"
"3: 2019","Jan","13","14","9.7","3","17","13.7","9","79","68.5","46"
"3: 2019","Jan","14","21","18.2","14","15","7.8","2","86","74.3","64"
"3: 2019","Jan","15","27","25.6","21","29","16.9","8","86","81.0","74"
"3: 2019","Jan","16","30","23.3","3","26","20.3","5","93","79.1","43"
"3: 2019","Jan","17","21","11.8","3","12","7.8","3","86","69.5","58"
"3: 2019","Jan","18","27","22.1","12","22","9.4","0","93","75.0","51"
"3: 2019","Jan","19","12","2.2","0","17","10.9","5","79","72.9","49"
"3: 2019","Jan","20","0","-6.3","-18","26","17.9","9","78","65.5","46"
"3: 2019","Jan","21","0","-9.9","-18","21","13.8","5","67","55.1","50"
"3: 2019","Jan","22","21","8.9","0","13","7.0","0","86","71.3","51"
"3: 2019","Jan","23","39","34.1","23","22","8.6","0","100","94.2","65"
"3: 2019","Jan","24","39","26.9","21","21","12.5","5","100","82.7","64"
"3: 2019","Jan","25","23","14.8","5","32","23.7","14","80","70.8","58"
"3: 2019","Jan","26","18","8.6","1","25","11.9","6","86","68.8","49"
"3: 2019","Jan","27","27","14.3","0","31","18.0","2","93","76.8","53"
"3: 2019","Jan","28","25","9.6","-13","39","21.1","6","93","79.3","51"
"3: 2019","Jan","29","34","17.2","-2","39","25.5","7","100","76.8","50"
"3: 2019","Jan","30","-2","-7.2","-11","38","28.3","18","78","64.5","56"
"3: 2019","Jan","31","-2","-6.5","-11","31","25.3","21","78","67.2","57"
