"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"2: 2020","Feb","Feb","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"2: 2020","Feb","1","30","28.0","23","17","10.8","2","93","85.5","65"
"2: 2020","Feb","2","34","32.1","28","20","9.0","2","100","93.1","81"
"2: 2020","Feb","3","34","30.2","27","20","11.6","0","93","74.0","57"
"2: 2020","Feb","4","28","24.1","16","17","10.6","6","70","63.2","55"
"2: 2020","Feb","5","23","13.4","7","17","11.0","3","80","61.8","54"
"2: 2020","Feb","6","27","21.1","19","18","12.4","5","93","81.7","74"
"2: 2020","Feb","7","21","17.2","10","22","12.4","5","86","74.8","59"
"2: 2020","Feb","8","14","6.8","0","13","6.5","2","74","65.7","53"
"2: 2020","Feb","9","34","27.4","16","21","9.7","2","100","87.9","74"
"2: 2020","Feb","10","34","31.4","27","14","8.5","5","100","85.1","65"
"2: 2020","Feb","11","27","24.6","21","18","11.6","0","75","68.2","56"
"2: 2020","Feb","12","28","23.3","19","21","16.0","9","81","70.9","64"
"2: 2020","Feb","13","30","22.6","0","21","11.0","3","100","82.7","62"
"2: 2020","Feb","14","9","1.9","-11","20","11.2","3","79","64.8","52"
"2: 2020","Feb","15","28","17.1","9","30","22.0","17","87","69.5","60"
"2: 2020","Feb","16","28","25.1","21","21","15.0","7","81","68.3","52"
"2: 2020","Feb","17","25","19.0","12","18","10.0","3","80","67.0","51"
"2: 2020","Feb","18","37","32.1","23","30","15.5","5","100","89.0","60"
"2: 2020","Feb","19","21","13.7","9","23","15.4","8","69","55.7","47"
"2: 2020","Feb","20","14","8.6","5","16","10.1","3","68","57.1","50"
"2: 2020","Feb","21","21","13.8","9","28","19.3","10","74","62.0","44"
"2: 2020","Feb","22","30","22.8","16","23","15.4","7","81","65.0","55"
"2: 2020","Feb","23","32","29.8","28","17","12.2","6","81","73.3","61"
"2: 2020","Feb","24","34","32.0","28","15","8.3","0","87","74.7","53"
"2: 2020","Feb","25","34","30.7","25","14","9.8","6","93","74.3","53"
"2: 2020","Feb","26","30","27.7","23","16","11.1","6","93","83.5","52"
"2: 2020","Feb","27","25","17.5","14","43","28.5","14","93","71.4","59"
"2: 2020","Feb","28","21","16.1","12","36","23.7","8","86","72.4","64"
"2: 2020","Feb","29","14","7.7","1","20","10.8","3","79","64.5","47"
