"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"3: 2019","Sep","Sep","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"3: 2019","Sep","1","63","59.3","50","14","7.7","0","94","82.0","63"
"3: 2019","Sep","2","64","61.1","57","13","6.9","5","94","81.1","61"
"3: 2019","Sep","3","68","63.1","57","14","8.2","3","94","85.5","78"
"3: 2019","Sep","4","68","59.2","50","20","11.9","5","100","74.9","56"
"3: 2019","Sep","5","54","51.8","50","9","5.7","2","88","67.6","52"
"3: 2019","Sep","6","61","56.5","52","17","9.1","2","88","78.0","68"
"3: 2019","Sep","7","57","53.5","50","17","7.5","3","94","71.6","44"
"3: 2019","Sep","8","54","49.5","43","13","7.8","3","88","68.5","52"
"3: 2019","Sep","9","52","48.3","43","15","10.0","6","77","69.0","59"
"3: 2019","Sep","10","68","59.8","50","14","8.8","3","94","79.3","68"
"3: 2019","Sep","11","70","66.3","63","13","4.3","0","100","92.6","61"
"3: 2019","Sep","12","63","54.9","50","23","13.9","7","94","79.1","59"
"3: 2019","Sep","13","64","60.7","50","21","12.1","5","94","83.7","59"
"3: 2019","Sep","14","66","56.2","48","22","14.6","5","94","68.9","43"
"3: 2019","Sep","15","59","55.7","50","12","4.5","0","94","82.6","68"
"3: 2019","Sep","16","61","56.9","50","16","10.7","2","94","81.3","63"
"3: 2019","Sep","17","59","55.5","50","7","2.8","0","94","77.6","56"
"3: 2019","Sep","18","61","56.4","52","12","7.0","0","94","76.1","56"
"3: 2019","Sep","19","61","58.0","55","13","7.2","3","94","78.2","60"
"3: 2019","Sep","20","63","60.8","57","10","5.1","0","100","87.6","69"
"3: 2019","Sep","21","66","64.1","63","15","7.2","2","100","85.5","73"
"3: 2019","Sep","22","70","66.5","63","20","5.8","0","100","87.4","58"
"3: 2019","Sep","23","66","61.4","54","26","15.1","8","88","72.1","50"
"3: 2019","Sep","24","59","51.6","46","14","8.6","0","94","66.0","43"
"3: 2019","Sep","25","66","60.4","55","22","10.1","0","94","80.5","64"
"3: 2019","Sep","26","61","53.7","43","22","10.6","6","94","72.5","40"
"3: 2019","Sep","27","61","54.5","48","12","4.2","0","94","76.4","60"
"3: 2019","Sep","28","64","61.2","54","17","7.6","0","100","89.7","72"
"3: 2019","Sep","29","54","46.9","43","20","13.3","5","88","71.7","59"
"3: 2019","Sep","30","59","53.0","46","23","15.3","5","94","80.0","63"
