"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"1: 2021","Feb","Feb","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"1: 2021","Feb","1","12","7.2","3","21","11.0","7","73","55.8","37"
"1: 2021","Feb","2","21","12.4","3","21","12.4","7","64","54.6","43"
"1: 2021","Feb","3","19","13.3","9","20","16.1","13","64","54.8","38"
"1: 2021","Feb","4","28","22.9","19","16","9.2","3","81","70.0","60"
"1: 2021","Feb","5","36","25.0","9","37","23.1","6","100","80.2","58"
"1: 2021","Feb","6","14","10.5","9","32","23.6","12","74","65.0","54"
"1: 2021","Feb","7","18","10.7","1","24","15.6","6","86","70.7","53"
"1: 2021","Feb","8","12","5.3","0","16","9.0","5","79","55.5","0"
"1: 2021","Feb","9","14","8.5","0","13","5.7","0","86","53.2","0"
"1: 2021","Feb","10","10","7.2","5","14","10.0","6","73","58.9","46"
"1: 2021","Feb","11","12","7.0","3","14","9.1","5","74","54.7","40"
"1: 2021","Feb","12","10","4.3","-2","17","11.7","6","79","68.0","49"
"1: 2021","Feb","13","12","6.8","-6","22","14.9","6","86","71.5","41"
"1: 2021","Feb","14","16","11.4","7","9","7.4","5","86","74.1","63"
"1: 2021","Feb","15","16","13.3","10","20","12.1","6","86","71.1","54"
"1: 2021","Feb","16","18","11.5","5","22","14.4","7","86","75.3","58"
"1: 2021","Feb","17","10","7.4","0","13","8.0","5","79","59.9","46"
"1: 2021","Feb","18","23","18.4","9","23","15.9","3","93","76.9","54"
"1: 2021","Feb","19","25","20.7","18","15","8.1","0","93","83.9","69"
"1: 2021","Feb","20","21","17.4","14","14","8.8","6","86","69.7","51"
"1: 2021","Feb","21","21","16.7","12","16","8.8","3","86","73.7","59"
"1: 2021","Feb","22","34","29.7","19","22","14.0","5","100","83.8","56"
"1: 2021","Feb","23","34","31.6","27","21","15.0","7","100","85.6","70"
"1: 2021","Feb","24","36","31.8","27","29","10.6","0","93","77.7","66"
"1: 2021","Feb","25","25","18.3","12","22","12.7","8","70","58.1","38"
"1: 2021","Feb","26","28","23.0","18","14","8.2","3","81","69.0","56"
"1: 2021","Feb","27","39","33.5","28","23","10.7","3","100","86.1","70"
"1: 2021","Feb","28","39","35.3","30","24","9.9","0","100","93.8","81"
