"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"2: 2020","Dec","Dec","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"2: 2020","Dec","1","30","27.5","25","17","12.2","6","93","86.1","75"
"2: 2020","Dec","2","28","26.1","21","24","13.5","7","93","73.4","45"
"2: 2020","Dec","3","34","28.5","25","25","17.3","8","76","67.4","61"
"2: 2020","Dec","4","34","33.7","32","29","16.1","7","93","84.9","70"
"2: 2020","Dec","5","32","26.3","19","17","10.5","5","87","77.8","65"
"2: 2020","Dec","6","21","19.9","19","16","8.8","5","80","71.6","56"
"2: 2020","Dec","7","21","19.0","16","17","11.3","3","80","71.0","56"
"2: 2020","Dec","8","28","20.4","14","22","10.7","5","80","68.5","52"
"2: 2020","Dec","9","36","33.0","28","24","16.3","8","100","89.1","70"
"2: 2020","Dec","10","37","35.3","32","14","7.7","2","100","86.2","61"
"2: 2020","Dec","11","39","37.2","34","12","5.2","0","100","86.6","71"
"2: 2020","Dec","12","43","39.0","36","28","18.2","5","100","92.6","81"
"2: 2020","Dec","13","41","30.0","25","24","15.3","7","87","74.0","65"
"2: 2020","Dec","14","28","23.7","18","24","13.4","5","75","66.0","52"
"2: 2020","Dec","15","23","16.9","3","17","9.5","2","80","65.8","49"
"2: 2020","Dec","16","23","18.2","3","36","25.8","13","93","82.1","46"
"2: 2020","Dec","17","18","14.4","12","18","10.1","7","86","72.1","59"
"2: 2020","Dec","18","25","9.0","-4","14","7.3","2","80","50.9","33"
"2: 2020","Dec","19","36","31.2","25","18","9.0","5","100","82.8","70"
"2: 2020","Dec","20","39","36.4","28","23","12.5","6","100","91.6","70"
"2: 2020","Dec","21","37","33.5","27","17","6.4","0","100","86.6","75"
"2: 2020","Dec","22","34","28.4","23","26","12.5","3","93","73.5","60"
"2: 2020","Dec","23","37","31.2","23","13","8.4","3","87","73.3","60"
"2: 2020","Dec","24","43","35.5","28","24","10.2","2","100","88.9","76"
"2: 2020","Dec","25","28","25.0","21","31","18.3","10","93","83.1","65"
"2: 2020","Dec","26","25","22.4","19","37","24.1","0","86","82.0","74"
"2: 2020","Dec","27","32","26.0","21","21","11.6","2","87","76.7","64"
"2: 2020","Dec","28","39","30.5","19","33","18.9","2","93","78.1","60"
"2: 2020","Dec","29","19","16.2","14","16","11.2","5","74","60.9","51"
"2: 2020","Dec","30","39","31.2","18","25","12.3","2","93","84.9","60"
"2: 2020","Dec","31","28","24.1","21","28","11.4","2","80","67.1","60"
