"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"3: 2019","Feb","Feb","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"3: 2019","Feb","1","1","-2.6","-8","15","8.6","5","72","62.3","49"
"3: 2019","Feb","2","32","21.1","-2","22","11.3","0","100","83.3","57"
"3: 2019","Feb","3","37","34.2","30","12","6.0","0","100","94.9","81"
"3: 2019","Feb","4","41","38.2","36","16","7.0","2","100","89.8","76"
"3: 2019","Feb","5","46","33.1","14","24","11.8","3","100","84.1","64"
"3: 2019","Feb","6","30","26.3","14","36","20.0","2","100","91.3","68"
"3: 2019","Feb","7","37","30.1","25","26","14.5","0","100","93.0","80"
"3: 2019","Feb","8","39","19.2","5","38","25.5","0","100","72.0","55"
"3: 2019","Feb","9","16","10.9","5","30","17.3","10","74","63.2","54"
"3: 2019","Feb","10","21","15.2","9","15","8.1","0","86","71.8","63"
"3: 2019","Feb","11","21","18.4","12","28","17.2","12","86","76.0","59"
"3: 2019","Feb","12","34","27.0","14","43","28.8","7","100","90.9","64"
"3: 2019","Feb","13","34","24.4","16","36","27.9","18","93","80.6","59"
"3: 2019","Feb","14","32","24.3","19","24","15.0","6","93","77.9","69"
"3: 2019","Feb","15","36","26.7","18","31","19.3","3","100","77.0","64"
"3: 2019","Feb","16","23","15.8","12","23","11.5","5","80","69.1","55"
"3: 2019","Feb","17","18","11.6","7","23","15.0","7","86","69.5","58"
"3: 2019","Feb","18","14","9.6","0","18","10.5","5","86","68.2","39"
"3: 2019","Feb","19","14","9.7","3","15","8.7","3","79","65.8","54"
"3: 2019","Feb","20","32","25.3","9","25","12.8","2","100","83.8","63"
"3: 2019","Feb","21","34","29.1","21","30","14.9","3","100","78.9","52"
"3: 2019","Feb","22","28","24.4","19","10","5.7","0","81","71.8","52"
"3: 2019","Feb","23","32","27.6","21","29","16.2","5","87","80.5","69"
"3: 2019","Feb","24","39","31.1","21","48","26.8","3","100","85.6","65"
"3: 2019","Feb","25","23","16.3","9","45","30.5","18","86","69.1","54"
"3: 2019","Feb","26","12","5.7","3","18","11.3","3","68","56.8","46"
"3: 2019","Feb","27","18","9.5","0","26","14.1","5","86","76.9","53"
"3: 2019","Feb","28","12","7.8","1","9","4.8","0","85","70.4","63"
