"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"3: 2019","May","May","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"3: 2019","May","1","43","40.7","37","31","21.0","3","100","91.1","76"
"3: 2019","May","2","43","40.3","39","20","10.6","6","100","95.6","87"
"3: 2019","May","3","46","42.1","41","18","8.6","0","100","93.8","87"
"3: 2019","May","4","48","45.6","43","8","5.5","2","100","94.1","82"
"3: 2019","May","5","48","44.6","41","7","2.7","0","100","88.4","67"
"3: 2019","May","6","52","46.9","41","15","6.5","0","93","74.8","60"
"3: 2019","May","7","46","40.2","27","15","8.4","5","93","70.8","33"
"3: 2019","May","8","34","31.5","30","22","15.9","12","62","56.1","50"
"3: 2019","May","9","57","48.0","32","30","9.3","0","100","86.4","57"
"3: 2019","May","10","57","50.0","34","23","8.2","0","100","88.3","57"
"3: 2019","May","11","39","35.9","32","10","6.8","2","87","69.1","50"
"3: 2019","May","12","43","40.3","34","30","23.7","10","100","87.2","50"
"3: 2019","May","13","45","42.7","39","25","13.2","0","100","97.3","93"
"3: 2019","May","14","45","42.6","36","13","5.4","0","100","89.2","39"
"3: 2019","May","15","72","49.1","41","18","5.3","0","100","82.1","40"
"3: 2019","May","16","48","44.7","41","14","7.5","2","94","80.0","71"
"3: 2019","May","17","50","45.1","37","15","5.8","0","100","74.3","45"
"3: 2019","May","18","41","39.0","32","20","11.7","5","81","64.7","47"
"3: 2019","May","19","57","48.2","36","21","9.6","2","100","86.0","58"
"3: 2019","May","20","55","48.4","39","26","11.6","2","100","84.3","55"
"3: 2019","May","21","43","38.7","36","13","8.5","3","81","55.0","32"
"3: 2019","May","22","45","40.5","37","21","11.3","0","87","68.3","48"
"3: 2019","May","23","57","38.0","0","36","8.6","0","100","71.0","0"
"3: 2019","May","24","54","26.8","0","17","8.1","0","88","39.6","0"
"3: 2019","May","25","64","54.7","48","17","9.0","0","100","94.6","82"
"3: 2019","May","26","57","52.9","43","12","6.2","0","100","78.9","43"
"3: 2019","May","27","52","49.0","46","14","5.1","0","88","67.2","49"
"3: 2019","May","28","54","48.4","45","31","19.1","2","94","88.6","76"
"3: 2019","May","29","50","48.3","48","6","3.7","2","94","91.0","82"
"3: 2019","May","30","59","52.8","48","10","5.3","0","100","92.5","64"
"3: 2019","May","31","54","45.0","37","14","9.3","0","82","68.8","51"
