"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"2: 2020","Nov","Nov","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"2: 2020","Nov","1","48","35.9","27","35","19.8","10","100","78.7","54"
"2: 2020","Nov","2","32","26.1","21","28","17.8","8","87","68.7","49"
"2: 2020","Nov","3","39","32.8","27","25","10.5","3","87","66.4","57"
"2: 2020","Nov","4","48","44.1","39","16","6.9","0","100","83.9","63"
"2: 2020","Nov","5","50","47.2","45","17","8.5","0","88","80.0","72"
"2: 2020","Nov","6","50","48.2","46","18","9.2","2","94","85.0","72"
"2: 2020","Nov","7","50","48.1","46","12","5.9","0","94","84.9","72"
"2: 2020","Nov","9","48","45.9","45","16","8.5","2","93","77.5","72"
"2: 2020","Nov","10","55","49.8","43","10","5.3","0","88","78.8","64"
"2: 2020","Nov","11","55","47.8","32","20","9.5","0","100","76.1","47"
"2: 2020","Nov","12","36","31.8","28","9","5.2","0","81","63.3","53"
"2: 2020","Nov","13","37","34.5","28","20","10.3","0","76","67.3","57"
"2: 2020","Nov","14","32","28.3","25","13","8.9","5","70","60.8","46"
"2: 2020","Nov","15","48","41.2","30","51","23.3","8","93","78.3","57"
"2: 2020","Nov","16","34","29.6","27","31","23.9","13","76","64.9","57"
"2: 2020","Nov","17","30","20.3","12","29","14.6","9","80","63.3","38"
"2: 2020","Nov","18","30","17.4","12","10","5.1","0","75","65.3","59"
"2: 2020","Nov","19","41","36.3","32","21","13.1","7","81","68.1","54"
"2: 2020","Nov","20","43","40.8","37","20","12.1","2","87","71.3","58"
"2: 2020","Nov","21","37","27.8","23","13","8.7","6","71","58.1","49"
"2: 2020","Nov","22","34","31.3","23","24","14.8","2","100","89.1","56"
"2: 2020","Nov","23","36","31.8","28","16","12.4","3","93","84.7","70"
"2: 2020","Nov","24","34","28.3","21","20","11.8","3","93","78.1","64"
"2: 2020","Nov","25","45","40.1","34","15","9.2","5","100","92.3","81"
"2: 2020","Nov","26","48","44.4","39","17","10.6","0","100","96.0","76"
"2: 2020","Nov","27","41","39.2","37","13","8.1","5","93","84.0","71"
"2: 2020","Nov","28","39","32.9","27","21","14.3","8","87","70.2","49"
"2: 2020","Nov","29","41","35.5","30","18","11.0","2","93","76.8","66"
"2: 2020","Nov","30","41","35.3","30","18","11.5","0","93","87.3","81"
