"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"3: 2019","Jun","Jun","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"3: 2019","Jun","1","52","20.1","0","17","7.0","0","88","33.7","0"
"3: 2019","Jun","2","0","0.0","0","25","10.2","3","0","0.0","0"
"3: 2019","Jun","3","0","0.0","0","21","14.7","7","0","0.0","0"
"3: 2019","Jun","4","0","0.0","0","18","7.3","2","0","0.0","0"
"3: 2019","Jun","5","57","39.5","0","17","9.4","2","100","70.5","0"
"3: 2019","Jun","6","59","55.1","43","12","4.6","0","100","86.2","43"
"3: 2019","Jun","7","54","50.8","48","10","4.2","0","88","65.5","43"
"3: 2019","Jun","8","48","43.0","36","18","14.3","9","77","49.5","30"
"3: 2019","Jun","9","54","47.8","39","18","15.4","12","68","58.3","42"
"3: 2019","Jun","10","59","54.9","50","21","12.1","3","100","92.1","56"
"3: 2019","Jun","11","50","45.6","34","22","11.9","0","82","57.5","30"
"3: 2019","Jun","12","54","48.1","45","17","9.0","0","88","72.7","55"
"3: 2019","Jun","13","57","54.6","48","15","8.2","0","100","92.3","68"
"3: 2019","Jun","14","50","47.6","45","29","14.8","3","82","63.3","41"
"3: 2019","Jun","15","61","55.7","50","21","7.2","0","100","91.4","77"
"3: 2019","Jun","16","57","47.2","0","10","4.9","0","100","74.0","0"
"3: 2019","Jun","17","54","52.7","52","13","6.3","0","88","78.4","68"
"3: 2019","Jun","18","57","34.0","0","9","3.6","0","94","50.4","0"
"3: 2019","Jun","19","61","36.1","0","9","4.5","0","82","46.1","0"
"3: 2019","Jun","20","64","61.5","55","14","7.2","0","94","84.1","73"
"3: 2019","Jun","21","59","53.7","46","15","10.7","3","88","63.1","44"
"3: 2019","Jun","22","55","49.3","46","18","7.8","3","73","53.3","38"
"3: 2019","Jun","23","55","51.7","50","12","6.9","0","82","62.3","41"
"3: 2019","Jun","24","61","57.2","54","17","11.6","0","94","80.2","68"
"3: 2019","Jun","25","63","60.2","57","22","5.2","0","100","89.1","57"
"3: 2019","Jun","26","64","59.7","55","24","8.0","0","88","71.7","42"
"3: 2019","Jun","27","63","59.6","55","8","4.1","0","94","69.9","42"
"3: 2019","Jun","28","68","64.7","59","17","3.5","0","100","82.9","61"
"3: 2019","Jun","29","68","66.0","57","16","4.5","0","100","89.9","50"
"3: 2019","Jun","30","63","56.7","52","15","8.5","0","88","67.0","44"
