"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"2: 2020","Apr","Apr","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"2: 2020","Apr","1","34","24.9","18","15","8.0","3","76","51.9","32"
"2: 2020","Apr","2","28","23.1","12","18","10.3","6","65","40.3","19"
"2: 2020","Apr","3","41","35.4","23","15","8.3","3","87","70.3","43"
"2: 2020","Apr","4","45","42.0","41","9","6.4","0","93","87.0","76"
"2: 2020","Apr","5","41","37.2","28","13","6.8","0","93","73.3","50"
"2: 2020","Apr","6","37","32.0","27","12","5.3","0","81","63.8","35"
"2: 2020","Apr","7","39","35.7","32","16","9.3","0","93","70.7","47"
"2: 2020","Apr","8","45","38.9","34","21","8.2","2","93","72.7","44"
"2: 2020","Apr","9","45","35.0","23","30","14.2","2","100","76.9","40"
"2: 2020","Apr","10","28","24.5","18","26","19.4","12","70","57.8","43"
"2: 2020","Apr","11","36","26.8","21","24","11.7","2","81","60.2","43"
"2: 2020","Apr","12","39","36.0","32","21","10.4","0","87","72.0","62"
"2: 2020","Apr","13","52","45.8","27","39","11.5","0","100","91.2","57"
"2: 2020","Apr","14","32","26.6","19","29","19.0","8","81","65.4","45"
"2: 2020","Apr","15","23","19.0","12","22","12.6","6","69","52.9","38"
"2: 2020","Apr","16","25","20.6","14","31","16.4","8","70","54.9","39"
"2: 2020","Apr","17","30","25.6","21","20","11.7","3","81","64.5","45"
"2: 2020","Apr","18","37","32.0","27","22","11.3","3","86","75.7","66"
"2: 2020","Apr","19","43","37.2","19","24","14.8","2","93","77.9","52"
"2: 2020","Apr","20","34","26.4","19","13","8.2","5","81","65.0","56"
"2: 2020","Apr","21","41","24.5","16","37","22.4","3","93","58.9","39"
"2: 2020","Apr","22","21","14.2","10","24","16.2","2","69","43.0","27"
"2: 2020","Apr","23","30","21.9","12","20","14.0","2","70","54.4","41"
"2: 2020","Apr","24","34","21.3","16","21","12.8","2","70","40.1","30"
"2: 2020","Apr","25","36","27.4","7","16","8.1","0","93","54.5","16"
"2: 2020","Apr","26","41","34.1","18","24","16.8","7","87","64.3","24"
"2: 2020","Apr","27","37","29.7","25","14","8.7","3","76","49.5","35"
"2: 2020","Apr","28","39","37.0","34","21","12.0","0","81","73.6","62"
"2: 2020","Apr","29","46","41.6","36","32","20.3","10","87","75.6","66"
"2: 2020","Apr","30","50","47.6","45","26","10.7","3","100","98.4","87"
