"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"1: 2021","Jun","Jun","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"1: 2021","Jun","1","50","47.5","45","16","7.5","0","82","67.2","41"
"1: 2021","Jun","2","54","50.2","48","9","4.5","0","94","71.8","46"
"1: 2021","Jun","3","61","57.6","55","9","6.1","0","100","96.0","83"
"1: 2021","Jun","4","61","57.0","55","14","4.8","0","100","91.8","73"
"1: 2021","Jun","5","59","55.6","54","22","9.6","0","94","67.2","40"
"1: 2021","Jun","6","61","56.3","54","17","7.6","2","88","71.8","60"
"1: 2021","Jun","7","68","59.8","55","17","6.2","0","88","77.5","65"
"1: 2021","Jun","8","73","65.3","59","7","2.6","0","100","97.8","83"
"1: 2021","Jun","9","70","64.1","61","9","5.0","2","100","90.9","61"
"1: 2021","Jun","10","61","51.0","46","21","13.8","8","69","54.7","46"
"1: 2021","Jun","11","57","52.6","46","21","14.5","9","82","63.6","52"
"1: 2021","Jun","12","55","53.1","50","10","6.0","0","73","58.3","44"
"1: 2021","Jun","13","61","57.9","54","12","6.6","0","83","67.0","47"
"1: 2021","Jun","14","61","58.1","52","15","8.5","3","94","78.7","56"
"1: 2021","Jun","15","57","45.5","34","20","12.4","6","82","49.7","27"
"1: 2021","Jun","16","41","36.0","28","16","10.4","6","51","36.8","20"
"1: 2021","Jun","17","55","48.5","39","14","9.7","2","77","58.8","48"
"1: 2021","Jun","18","64","60.1","54","18","7.8","0","100","87.7","72"
"1: 2021","Jun","19","64","58.9","52","20","7.9","2","100","77.8","33"
"1: 2021","Jun","20","63","59.2","55","14","7.3","2","94","79.5","68"
"1: 2021","Jun","21","68","61.7","46","29","10.6","0","100","84.9","54"
"1: 2021","Jun","22","46","42.9","36","16","10.8","3","77","60.1","30"
"1: 2021","Jun","23","55","50.1","41","14","8.6","2","88","68.6","46"
"1: 2021","Jun","24","57","56.0","54","13","4.9","0","88","68.1","47"
"1: 2021","Jun","25","63","60.4","55","12","7.0","0","100","83.2","60"
"1: 2021","Jun","26","66","62.2","59","13","7.4","0","100","96.2","83"
"1: 2021","Jun","27","64","61.5","59","17","8.5","3","94","83.9","73"
"1: 2021","Jun","28","70","63.9","61","15","5.2","0","100","89.0","49"
"1: 2021","Jun","29","75","67.3","61","22","4.6","0","100","93.9","74"
"1: 2021","Jun","30","68","64.5","61","20","6.2","0","100","88.6","58"
