"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"2: 2020","Mar","Mar","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"2: 2020","Mar","1","30","19.6","12","14","8.0","3","81","68.0","56"
"2: 2020","Mar","2","41","36.7","28","16","8.0","0","100","93.6","70"
"2: 2020","Mar","3","39","35.7","32","17","9.8","0","100","92.9","81"
"2: 2020","Mar","4","32","28.9","23","23","15.9","0","81","69.7","56"
"2: 2020","Mar","5","30","24.4","19","17","9.8","5","81","65.0","56"
"2: 2020","Mar","6","32","28.2","19","23","11.4","3","93","74.1","56"
"2: 2020","Mar","7","30","17.7","10","20","11.4","6","81","59.1","47"
"2: 2020","Mar","8","36","32.1","27","16","10.1","0","81","74.0","61"
"2: 2020","Mar","9","43","37.5","32","20","9.6","0","93","73.2","61"
"2: 2020","Mar","10","45","39.1","23","22","10.8","0","100","85.8","56"
"2: 2020","Mar","11","30","27.4","25","21","10.7","0","93","76.5","60"
"2: 2020","Mar","12","37","31.9","28","24","15.8","12","93","83.5","81"
"2: 2020","Mar","13","45","36.0","23","40","17.4","0","100","79.2","49"
"2: 2020","Mar","14","28","24.5","23","17","12.0","6","70","61.9","56"
"2: 2020","Mar","15","21","14.3","7","13","8.5","2","60","47.2","32"
"2: 2020","Mar","16","32","24.5","12","20","8.4","0","93","70.8","41"
"2: 2020","Mar","17","37","34.0","21","24","13.3","6","100","82.3","42"
"2: 2020","Mar","18","30","24.3","19","24","13.1","2","75","63.6","52"
"2: 2020","Mar","19","41","36.8","30","21","14.6","6","100","88.0","75"
"2: 2020","Mar","20","55","38.6","18","35","14.9","0","100","87.3","64"
"2: 2020","Mar","21","18","13.7","7","15","7.8","2","69","59.8","40"
"2: 2020","Mar","22","27","17.5","10","24","17.5","8","70","61.0","54"
"2: 2020","Mar","23","37","33.4","27","21","10.5","3","100","93.9","70"
"2: 2020","Mar","24","36","31.8","30","14","6.6","2","93","78.6","70"
"2: 2020","Mar","25","37","34.5","32","22","12.7","0","93","84.3","76"
"2: 2020","Mar","26","45","38.6","34","17","5.8","0","100","86.0","67"
"2: 2020","Mar","27","36","33.3","32","10","6.6","2","87","77.7","66"
"2: 2020","Mar","28","41","36.8","32","29","21.9","10","100","87.1","75"
"2: 2020","Mar","29","50","41.9","39","38","21.7","3","100","92.2","52"
"2: 2020","Mar","30","41","39.0","36","21","12.2","8","93","81.4","71"
"2: 2020","Mar","31","41","39.6","36","23","13.7","2","100","92.7","76"
