"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"1: 2021","Jan","Jan","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"1: 2021","Jan","1","34","30.2","23","21","14.5","0","100","86.7","65"
"1: 2021","Jan","2","36","30.6","27","18","9.1","0","100","87.8","70"
"1: 2021","Jan","3","34","32.0","28","14","7.3","2","100","91.4","81"
"1: 2021","Jan","4","32","29.4","28","8","5.5","0","93","85.4","81"
"1: 2021","Jan","5","32","30.9","28","12","8.4","3","100","90.3","75"
"1: 2021","Jan","6","28","26.0","25","12","8.3","5","81","71.6","65"
"1: 2021","Jan","7","25","20.6","16","10","8.2","5","75","66.4","56"
"1: 2021","Jan","8","19","14.9","10","9","6.2","0","86","71.8","54"
"1: 2021","Jan","9","25","13.5","7","16","9.9","3","75","47.3","26"
"1: 2021","Jan","10","28","26.0","23","12","7.0","3","86","79.3","70"
"1: 2021","Jan","11","28","24.4","21","21","10.8","3","87","77.9","65"
"1: 2021","Jan","12","28","26.3","25","17","12.5","7","93","82.4","75"
"1: 2021","Jan","13","32","30.7","27","20","12.4","0","93","87.0","75"
"1: 2021","Jan","14","36","33.5","30","12","5.0","0","93","83.9","65"
"1: 2021","Jan","15","37","35.9","34","24","13.4","6","100","87.8","76"
"1: 2021","Jan","16","34","29.6","25","20","12.3","5","93","77.9","60"
"1: 2021","Jan","17","32","28.6","25","20","11.4","3","87","77.9","56"
"1: 2021","Jan","18","28","25.7","21","12","6.0","0","87","77.8","65"
"1: 2021","Jan","19","28","25.8","16","28","14.8","6","87","77.5","51"
"1: 2021","Jan","20","21","13.7","10","22","9.7","0","74","66.3","54"
"1: 2021","Jan","21","30","26.9","23","29","21.6","14","81","73.0","65"
"1: 2021","Jan","22","30","22.0","12","24","13.6","6","87","72.8","51"
"1: 2021","Jan","23","12","7.3","5","18","10.7","5","73","58.6","46"
"1: 2021","Jan","24","21","15.1","10","10","4.6","0","74","65.1","55"
"1: 2021","Jan","25","27","21.7","19","10","4.6","0","86","70.7","64"
"1: 2021","Jan","26","30","26.8","19","35","20.6","10","100","86.2","74"
"1: 2021","Jan","27","19","16.2","12","14","9.4","7","80","71.7","59"
"1: 2021","Jan","28","10","6.3","1","24","10.9","6","73","64.8","46"
"1: 2021","Jan","29","10","6.6","0","15","7.8","0","79","67.4","62"
"1: 2021","Jan","30","16","11.3","5","10","4.9","0","80","68.5","62"
"1: 2021","Jan","31","21","18.0","10","31","21.7","13","86","80.1","63"
