"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"1: 2021","Mar","Mar","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"1: 2021","Mar","1","39","18.2","1","36","20.2","6","100","61.8","40"
"1: 2021","Mar","2","21","9.0","0","23","11.8","2","73","60.7","49"
"1: 2021","Mar","3","30","26.1","21","25","11.6","7","70","61.8","50"
"1: 2021","Mar","4","27","13.8","0","22","12.9","6","70","57.1","34"
"1: 2021","Mar","5","18","8.7","1","24","14.2","7","63","48.3","27"
"1: 2021","Mar","6","14","9.6","3","17","11.6","6","63","52.0","40"
"1: 2021","Mar","7","14","8.5","1","12","7.0","2","68","50.1","40"
"1: 2021","Mar","8","34","23.0","10","14","4.9","0","93","67.1","53"
"1: 2021","Mar","9","34","31.8","28","12","6.8","0","93","75.5","46"
"1: 2021","Mar","10","36","34.7","32","14","10.3","2","93","75.8","57"
"1: 2021","Mar","11","50","39.6","30","36","17.0","0","82","66.2","47"
"1: 2021","Mar","12","36","25.4","10","32","17.6","6","87","56.6","33"
"1: 2021","Mar","13","28","17.2","9","23","12.3","7","70","54.8","33"
"1: 2021","Mar","14","27","15.8","-2","24","13.6","3","70","50.1","31"
"1: 2021","Mar","15","10","0.9","-9","15","9.5","6","54","36.7","23"
"1: 2021","Mar","16","28","21.5","9","25","16.3","0","75","60.8","40"
"1: 2021","Mar","17","36","31.2","27","12","6.4","2","87","75.6","65"
"1: 2021","Mar","18","34","25.9","1","23","11.8","2","81","59.9","24"
"1: 2021","Mar","19","25","8.8","0","21","10.2","2","70","40.8","25"
"1: 2021","Mar","20","32","27.0","19","12","6.3","0","81","62.1","32"
"1: 2021","Mar","21","34","28.9","27","15","7.4","0","87","64.6","46"
"1: 2021","Mar","22","32","29.0","25","15","8.4","0","75","58.1","43"
"1: 2021","Mar","23","32","29.2","23","15","8.1","0","81","52.5","33"
"1: 2021","Mar","24","48","42.4","32","21","11.1","2","100","80.5","54"
"1: 2021","Mar","25","46","41.5","37","14","4.0","0","100","86.5","52"
"1: 2021","Mar","26","48","43.9","32","30","14.5","0","100","89.3","66"
"1: 2021","Mar","27","36","34.8","32","21","9.1","2","87","79.3","70"
"1: 2021","Mar","28","46","38.0","30","29","13.3","2","100","88.2","65"
"1: 2021","Mar","29","32","25.4","16","25","14.7","8","81","62.1","42"
"1: 2021","Mar","30","37","33.8","28","13","6.1","0","87","60.9","46"
"1: 2021","Mar","31","45","37.3","25","20","10.7","2","87","70.0","38"
