"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"1: 2021","May","May","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"1: 2021","May","1","37","29.6","19","15","9.4","0","71","56.4","30"
"1: 2021","May","2","46","41.7","37","17","6.5","0","87","70.0","48"
"1: 2021","May","3","46","44.6","41","28","17.8","6","93","86.8","72"
"1: 2021","May","4","46","44.3","41","17","8.9","2","100","96.3","87"
"1: 2021","May","5","46","42.2","36","18","11.2","6","87","72.6","58"
"1: 2021","May","6","37","34.6","30","16","7.9","2","81","61.0","41"
"1: 2021","May","7","39","34.8","28","10","6.0","0","87","68.2","46"
"1: 2021","May","8","41","37.1","28","20","8.9","0","93","66.2","36"
"1: 2021","May","9","41","35.5","27","9","5.2","2","93","67.1","40"
"1: 2021","May","10","39","33.0","27","23","12.2","5","70","53.6","41"
"1: 2021","May","11","36","32.1","30","21","14.6","7","81","59.2","41"
"1: 2021","May","12","37","30.3","21","15","10.5","7","76","43.3","19"
"1: 2021","May","13","41","33.3","27","12","7.6","3","62","42.8","34"
"1: 2021","May","14","43","37.8","30","14","7.5","3","76","56.6","28"
"1: 2021","May","15","41","38.0","34","8","4.3","0","71","51.5","28"
"1: 2021","May","16","46","42.7","37","17","5.0","0","82","58.2","37"
"1: 2021","May","17","50","45.8","43","8","4.3","0","82","64.0","38"
"1: 2021","May","18","52","48.8","46","13","5.9","0","82","64.5","43"
"1: 2021","May","19","54","49.5","46","8","5.5","0","77","50.8","36"
"1: 2021","May","20","57","52.3","48","10","5.4","0","82","58.3","47"
"1: 2021","May","21","59","56.8","54","10","4.8","0","88","65.8","40"
"1: 2021","May","22","66","61.0","57","18","9.1","2","94","69.9","48"
"1: 2021","May","23","66","58.8","48","16","10.1","3","94","72.2","43"
"1: 2021","May","24","52","44.8","39","14","10.7","2","77","61.3","51"
"1: 2021","May","25","64","53.8","43","16","6.3","0","83","69.7","59"
"1: 2021","May","26","64","58.1","43","24","12.0","3","94","74.7","52"
"1: 2021","May","27","45","37.8","23","13","9.7","3","71","52.0","27"
"1: 2021","May","28","41","35.6","30","28","16.8","6","93","76.6","50"
"1: 2021","May","29","37","31.5","25","22","10.6","2","62","45.6","41"
"1: 2021","May","30","45","37.3","32","15","5.4","0","67","53.7","42"
"1: 2021","May","31","46","42.6","37","16","8.6","0","81","59.5","35"
