"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"2: 2020","Sep","Sep","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"2: 2020","Sep","1","70","66.6","64","12","4.2","0","94","87.3","74"
"2: 2020","Sep","2","72","67.2","55","20","7.6","0","100","84.3","44"
"2: 2020","Sep","3","64","60.6","55","25","10.6","2","82","72.3","61"
"2: 2020","Sep","4","55","49.3","43","22","13.3","6","82","57.2","35"
"2: 2020","Sep","5","57","52.8","50","16","8.9","2","77","66.3","53"
"2: 2020","Sep","6","59","50.5","45","12","7.0","3","83","65.3","46"
"2: 2020","Sep","7","64","61.9","50","31","15.9","5","94","84.7","59"
"2: 2020","Sep","8","55","52.2","48","12","7.6","2","82","71.9","59"
"2: 2020","Sep","9","63","59.4","55","12","6.4","2","100","94.7","82"
"2: 2020","Sep","10","63","59.6","50","14","6.6","0","100","88.8","64"
"2: 2020","Sep","11","52","48.2","45","14","7.2","0","82","72.3","63"
"2: 2020","Sep","12","64","56.9","52","18","9.8","2","94","80.8","64"
"2: 2020","Sep","13","68","62.8","54","28","9.7","2","100","84.7","50"
"2: 2020","Sep","14","55","42.6","32","14","9.1","3","77","55.9","37"
"2: 2020","Sep","15","55","48.8","43","20","8.9","2","82","72.5","60"
"2: 2020","Sep","16","63","58.0","52","21","14.5","5","83","76.8","68"
"2: 2020","Sep","17","54","48.8","34","15","9.8","3","82","63.8","47"
"2: 2020","Sep","18","37","32.7","30","15","10.1","3","62","45.4","34"
"2: 2020","Sep","19","36","32.4","30","13","7.2","0","62","47.5","38"
"2: 2020","Sep","20","43","38.9","30","9","5.8","3","67","52.0","38"
"2: 2020","Sep","21","50","45.5","41","9","6.6","3","71","61.3","52"
"2: 2020","Sep","22","55","50.0","46","9","4.0","0","94","73.5","52"
"2: 2020","Sep","23","59","53.7","48","18","6.8","2","88","63.8","32"
"2: 2020","Sep","24","63","59.5","54","12","4.5","0","100","89.5","69"
"2: 2020","Sep","25","63","61.9","59","10","5.8","0","100","91.4","83"
"2: 2020","Sep","26","64","61.4","59","13","6.7","0","100","90.7","65"
"2: 2020","Sep","27","64","63.1","63","16","9.7","2","94","83.0","73"
"2: 2020","Sep","28","66","62.9","59","22","8.1","2","100","85.0","69"
"2: 2020","Sep","29","59","55.0","52","20","13.8","8","94","81.3","64"
"2: 2020","Sep","30","54","51.6","48","36","15.6","5","94","82.8","59"
